airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
"Shanghai Airlines, China Eastern",5:05 AM,3:55 PM,8 hr 50 min,1 stop,11831.0,"THB 11,831",2026-03-15,2026-03-22,BKK,NRT
Thai Vietjet Air,11:55 PM,7:55 AM+1,6 hr,Nonstop,13818.0,"THB 13,818",2026-03-15,2026-03-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17329.0,"THB 17,329",2026-03-15,2026-03-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21109.0,"THB 21,109",2026-03-15,2026-03-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,21460.0,"THB 21,460",2026-03-15,2026-03-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,25789.0,"THB 25,789",2026-03-15,2026-03-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,12259.0,"THB 12,259",2026-03-15,2026-03-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,13119.0,"THB 13,119",2026-03-15,2026-03-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,17329.0,"THB 17,329",2026-03-15,2026-03-22,BKK,NRT
Hong Kong Express,7:45 PM,2:25 PM+1,16 hr 40 min,1 stop,9957.0,"THB 9,957",2026-03-15,2026-03-22,BKK,NRT
Hong Kong Airlines,1:55 AM,1:25 PM,9 hr 30 min,1 stop,11085.0,"THB 11,085",2026-03-15,2026-03-22,BKK,NRT
"Shanghai Airlines, China Eastern",5:05 AM,3:55 PM,8 hr 50 min,1 stop,11831.0,"THB 11,831",2026-03-15,2026-03-22,BKK,NRT
Thai Vietjet Air,11:55 PM,7:55 AM+1,6 hr,Nonstop,13818.0,"THB 13,818",2026-03-15,2026-03-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17329.0,"THB 17,329",2026-03-15,2026-03-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21109.0,"THB 21,109",2026-03-15,2026-03-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,21460.0,"THB 21,460",2026-03-15,2026-03-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,25789.0,"THB 25,789",2026-03-15,2026-03-22,BKK,NRT
Vietnam Airlines,9:05 PM,8:00 AM+1,8 hr 55 min,1 stop,10515.0,"THB 10,515",2026-05-15,2026-05-22,BKK,NRT
ZIPAIR Tokyo,11:10 PM,7:30 AM+1,6 hr 20 min,Nonstop,11531.0,"THB 11,531",2026-05-15,2026-05-22,BKK,NRT
ANA,7:00 AM,3:20 PM,6 hr 20 min,Nonstop,16130.0,"THB 16,130",2026-05-15,2026-05-22,BKK,NRT
THAI,7:35 AM,3:45 PM,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
JAL,8:05 AM,4:15 PM,6 hr 10 min,Nonstop,18100.0,"THB 18,100",2026-05-15,2026-05-22,BKK,NRT
Vietnam Airlines,7:05 PM,7:35 AM+1,10 hr 30 min,1 stop,10256.0,"THB 10,256",2026-05-15,2026-05-22,BKK,NRT
Air China,6:20 PM,3:50 PM+1,19 hr 30 min,1 stop,12700.0,"THB 12,700",2026-05-15,2026-05-22,BKK,NRT
THAI,10:10 PM,6:20 AM+1,6 hr 10 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
THAI,11:50 PM,8:10 AM+1,6 hr 20 min,Nonstop,16341.0,"THB 16,341",2026-05-15,2026-05-22,BKK,NRT
Thai Vietjet Air,11:35 PM,7:55 AM+1,6 hr 20 min,Nonstop,29140.0,"THB 29,140",2026-05-15,2026-05-22,BKK,NRT
Vietnam Airlines,9:05 PM,8:00 AM+1,8 hr 55 min,1 stop,10515.0,"THB 10,515",2026-05-15,2026-05-22,BKK,NRT
